,loan_identifier,seller_name,original_interest_rate,original_upb,origination_date,first_payment_date,number_of_borrowers,original_dir,borrower_credit_score_at_origination,first_time_home_buyer_indicator,loan_purpose,property_type,number_of_units,occupancy_type,property_state,primary_mortgage_insurance_percent,product_type,current_interest_rate,remaining_months_to_legal_maturity,adj_remaining_months_to_maturity,maturity_date,current_loan_delinquency_status,delinquency
10250,130981000000,U.S. BANK N.A.,6,167000,2018-11-01,2019-01-01,1,42,718,Y,P,CO,1,P,FL,12,FRM,5.75,348,346,2048-12-01,0,f
10256,130997000000,"LAKEVIEW LOAN SERVICING, LLC",6,446000,2018-11-01,2019-01-01,1,45,736,Y,P,SF,1,P,CA,12,FRM,5.75,348,342,2048-12-01,0,f
10257,130998000000,OTHER,5,94000,2019-01-01,2019-03-01,1,44,810,N,P,SF,1,S,AK,25,FRM,4.75,350,347,2049-02-01,0,f
10258,130999000000,OTHER,5,115000,2019-03-01,2019-05-01,1,39,801,N,P,SF,1,P,NM,30,FRM,4.63,352,324,2049-04-01,0,f
10260,131002000000,"MOVEMENT MORTGAGE, LLC",6,309000,2019-01-01,2019-03-01,2,43,685,N,P,PU,1,P,SC,30,FRM,5.5,350,349,2049-02-01,0,f
10262,131004000000,OTHER,6,175000,2018-12-01,2019-02-01,1,45,700,Y,P,CO,1,P,MA,18,FRM,5.75,349,348,2049-01-01,0,f
10265,131007000000,OTHER,4,378000,2019-03-01,2019-05-01,1,47,781,N,R,PU,1,P,TX,12,FRM,4.38,352,344,2049-04-01,0,f
10266,131008000000,OTHER,5,90000,2019-03-01,2019-04-01,1,38,781,N,P,SF,1,P,WI,18,FRM,5,351,351,2049-03-01,0,f
10267,131012000000,"WELLS FARGO BANK, N.A.",5,264000,2019-01-01,2019-03-01,2,37,731,N,P,SF,1,P,ME,12,FRM,5.13,355,0,2049-02-01,X,t
10268,131014000000,"WELLS FARGO BANK, N.A.",5,304000,2018-11-01,2019-01-01,2,49,745,N,P,SF,1,P,MN,30,FRM,4.99,348,348,2048-12-01,0,f
10271,131021000000,"MOVEMENT MORTGAGE, LLC",5,589000,2018-12-01,2019-02-01,1,40,790,Y,P,SF,1,P,CA,30,FRM,4.88,349,349,2049-01-01,0,f
10273,131026000000,"WELLS FARGO BANK, N.A.",5,333000,2018-12-01,2019-02-01,1,49,731,Y,P,PU,1,P,TX,30,FRM,4.88,349,349,2049-01-01,0,f
10274,131027000000,"WELLS FARGO BANK, N.A.",4,356000,2019-02-01,2019-04-01,2,40,720,N,P,PU,1,P,FL,25,FRM,4.38,351,350,2049-03-01,0,f
10280,131032000000,OTHER,5,124000,2019-02-01,2019-04-01,1,48,722,Y,P,SF,1,P,WI,25,FRM,4.88,351,350,2049-03-01,0,f
10281,131037000000,OTHER,5,243000,2019-02-01,2019-04-01,2,40,724,Y,P,SF,1,P,AZ,35,FRM,4.88,351,351,2049-03-01,0,f
10282,131046000000,OTHER,5,293000,2018-12-01,2019-02-01,2,50,734,N,P,SF,1,P,MI,30,FRM,5.13,349,349,2049-01-01,0,f
10288,131057000000,OTHER,5,379000,2019-03-01,2019-05-01,2,24,708,Y,P,PU,1,P,CA,35,FRM,5.13,352,352,2049-04-01,0,f
10296,131075000000,PENNYMAC CORP.,6,32000,2019-01-01,2019-03-01,1,33,757,N,P,CO,1,P,WI,25,FRM,5.5,350,350,2049-02-01,0,f
10297,131075000000,OTHER,5,531000,2018-11-01,2019-01-01,1,46,787,Y,P,SF,1,P,CA,25,FRM,5.38,348,348,2048-12-01,0,f
10299,131084000000,OTHER,4,238000,2019-02-01,2019-04-01,1,40,814,Y,P,CO,1,P,OH,25,FRM,4.38,351,351,2049-03-01,0,f
10301,131089000000,"WELLS FARGO BANK, N.A.",5,342000,2018-12-01,2019-02-01,2,35,719,Y,P,SF,1,P,FL,25,FRM,5,349,349,2049-01-01,0,f
10302,131093000000,OTHER,5,285000,2019-02-01,2019-04-01,2,38,714,N,P,SF,1,P,ID,18,FRM,4.63,351,351,2049-03-01,0,f
10311,131108000000,"EAGLE HOME MORTGAGE, LLC",5,225000,2018-12-01,2019-02-01,1,44,779,N,P,PU,1,S,ID,25,FRM,5.13,349,349,2049-01-01,0,f
10313,131110000000,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",5,181000,2018-12-01,2019-02-01,1,38,751,Y,P,SF,1,P,CA,25,FRM,5.25,349,349,2049-01-01,0,f
10315,131115000000,QUICKEN LOANS INC.,6,302000,2018-12-01,2019-02-01,3,47,756,Y,P,SF,2,P,NJ,12,FRM,5.75,349,349,2049-01-01,0,f
10318,131120000000,"WELLS FARGO BANK, N.A.",5,380000,2018-11-01,2019-01-01,1,31,792,Y,P,CO,1,P,DC,12,FRM,4.5,349,0,2048-12-01,X,t
10321,131133000000,PENNYMAC CORP.,5,78000,2019-01-01,2019-03-01,1,14,733,Y,P,SF,1,P,IN,35,FRM,5.25,350,350,2049-02-01,0,f
10323,131137000000,OTHER,5,216000,2018-12-01,2019-02-01,1,36,749,N,P,SF,1,P,AR,25,FRM,4.75,349,349,2049-01-01,0,f
10327,131144000000,PENNYMAC CORP.,4,242000,2019-01-01,2019-03-01,1,45,796,Y,P,SF,1,P,TX,30,FRM,4.38,350,347,2049-02-01,0,f
10328,131153000000,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",5,165000,2019-03-01,2019-05-01,1,35,740,N,R,PU,1,P,UT,25,FRM,4.5,352,350,2049-04-01,0,f
10335,131187000000,"WELLS FARGO BANK, N.A.",5,350000,2019-02-01,2019-04-01,1,37,670,N,P,PU,1,P,OH,30,FRM,4.63,351,350,2049-03-01,0,f
10336,131187000000,OTHER,5,238000,2019-01-01,2019-03-01,1,44,795,N,P,SF,1,P,CA,30,FRM,5.38,350,350,2049-02-01,0,f
10337,131189000000,PENNYMAC CORP.,5,221000,2018-11-01,2019-01-01,1,23,803,N,P,SF,1,P,OH,25,FRM,4.88,352,0,2048-12-01,X,t
10340,131194000000,"WELLS FARGO BANK, N.A.",5,147000,2019-01-01,2019-03-01,2,23,703,N,P,SF,1,P,AZ,25,FRM,5.25,350,350,2049-02-01,0,f
10341,131195000000,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,6,224000,2018-12-01,2019-02-01,2,46,674,Y,P,SF,1,P,TX,30,FRM,5.75,349,349,2049-01-01,0,f
10342,131199000000,OTHER,5,260000,2019-03-01,2019-05-01,1,43,726,N,R,SF,1,P,UT,12,FRM,4.5,352,352,2049-04-01,0,f
10345,131205000000,OTHER,5,199000,2018-12-01,2019-02-01,1,38,761,Y,P,SF,1,P,WA,25,FRM,4.75,349,349,2049-01-01,0,f
10350,131212000000,"WELLS FARGO BANK, N.A.",5,450000,2018-11-01,2019-01-01,1,42,744,Y,P,SF,1,P,CA,25,FRM,5.25,352,0,2048-12-01,X,t
10352,131217000000,"WELLS FARGO BANK, N.A.",5,247000,2019-01-01,2019-03-01,1,36,702,Y,P,SF,1,P,OR,30,FRM,4.88,350,350,2049-02-01,0,f
10357,131226000000,OTHER,6,297000,2018-12-01,2019-02-01,2,49,782,Y,P,PU,1,P,CO,18,FRM,5.5,349,349,2049-01-01,0,f
10358,131235000000,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6,268000,2018-11-01,2019-01-01,2,39,696,N,P,SF,1,P,TX,12,FRM,5.5,348,348,2048-12-01,0,f
10359,131236000000,OTHER,5,230000,2019-02-01,2019-04-01,1,43,755,N,P,PU,1,S,NV,25,FRM,4.75,351,286,2049-03-01,0,f
10360,131241000000,OTHER,4,484000,2019-01-01,2019-03-01,1,8,791,N,P,SF,1,P,TX,25,FRM,4.38,350,349,2049-02-01,0,f
10365,131263000000,QUICKEN LOANS INC.,5,115000,2018-12-01,2019-02-01,1,48,652,N,P,SF,1,P,IA,25,FRM,5.25,349,349,2049-01-01,0,f
10366,131263000000,OTHER,5,150000,2019-01-01,2019-03-01,1,44,728,Y,P,CO,1,P,OR,25,FRM,5.38,350,350,2049-02-01,0,f
10372,131267000000,"WELLS FARGO BANK, N.A.",5,221000,2019-01-01,2019-03-01,2,45,806,Y,P,PU,1,P,IL,25,FRM,4.88,355,0,2049-02-01,X,t
10373,131270000000,OTHER,5,151000,2019-01-01,2019-03-01,2,28,690,Y,P,SF,1,P,IN,35,FRM,5.13,350,349,2049-02-01,0,f
10377,131286000000,"WELLS FARGO BANK, N.A.",5,200000,2018-12-01,2019-02-01,1,36,807,Y,P,PU,1,P,TX,25,FRM,4.75,349,337,2049-01-01,0,f
10384,131300000000,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",6,119000,2018-12-01,2019-02-01,1,17,679,N,P,SF,1,P,MO,30,FRM,6,349,349,2049-01-01,0,f
10385,131301000000,OTHER,5,227000,2019-01-01,2019-03-01,2,41,716,N,P,SF,1,P,MI,25,FRM,5.38,350,331,2049-02-01,0,f
10391,131314000000,"WELLS FARGO BANK, N.A.",5,197000,2018-11-01,2019-01-01,2,43,729,N,R,SF,1,P,MS,12,FRM,5.38,348,348,2048-12-01,0,f
10393,131315000000,PENNYMAC CORP.,5,306000,2019-02-01,2019-04-01,1,50,756,Y,P,PU,1,P,AZ,25,FRM,4.75,351,351,2049-03-01,0,f
10394,131315000000,OTHER,6,229000,2019-01-01,2019-03-01,2,42,727,N,P,SF,1,I,PA,12,FRM,6.38,350,0,2049-02-01,X,t
10397,131326000000,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",5,143000,2018-12-01,2019-02-01,1,37,712,Y,P,CO,1,P,FL,12,FRM,5.25,349,349,2049-01-01,0,f
10400,131333000000,PENNYMAC CORP.,5,257000,2019-03-01,2019-05-01,1,47,754,N,P,SF,1,P,NC,30,FRM,4.75,352,352,2049-04-01,0,f
10404,131344000000,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",5,309000,2018-11-01,2019-01-01,1,47,769,Y,P,SF,1,P,CA,30,FRM,4.63,348,348,2048-12-01,0,f
10407,131353000000,OTHER,5,315000,2019-02-01,2019-04-01,1,48,746,N,P,PU,1,P,FL,12,FRM,4.5,351,346,2049-03-01,0,f
10408,131357000000,OTHER,5,293000,2019-02-01,2019-04-01,1,48,724,Y,P,PU,1,P,NV,25,FRM,4.75,351,351,2049-03-01,0,f
10409,131358000000,"MOVEMENT MORTGAGE, LLC",5,172000,2019-01-01,2019-03-01,1,49,758,N,P,PU,1,P,PA,25,FRM,4.5,350,345,2049-02-01,0,f
10410,131360000000,OTHER,5,275000,2018-12-01,2019-02-01,2,24,783,N,P,SF,1,P,CA,30,FRM,4.88,349,348,2049-01-01,0,f
